day,trade_7d,trade_14d,trade_91d,trade_182d,trade_365d,Proj_traded,Token_traded
2019-10-12,0.021739130434782608,0.043478260869565216,0.07608695652173914,0.09782608695652174,0.14130434782608695,13,92
2019-10-13,0.0,0.0,0.03225806451612903,0.07526881720430108,0.10752688172043011,12,93
2019-10-14,0.022222222222222223,0.05555555555555555,0.1,0.14444444444444443,0.17777777777777778,13,90
2019-10-15,0.04201680672268908,0.07563025210084033,0.15126050420168066,0.15126050420168066,0.19327731092436976,16,119
2019-10-16,0.03205128205128205,0.05128205128205128,0.11538461538461539,0.1282051282051282,0.17307692307692307,18,156
2019-10-17,0.04225352112676056,0.056338028169014086,0.1056338028169014,0.11971830985915492,0.14788732394366197,21,141
2019-10-18,0.011235955056179775,0.02247191011235955,0.12921348314606743,0.16853932584269662,0.21348314606741572,16,178
2019-10-19,0.02112676056338028,0.028169014084507043,0.13380281690140844,0.1619718309859155,0.18309859154929578,17,142
2019-10-20,0.02702702702702703,0.032432432432432434,0.10810810810810811,0.12972972972972974,0.1891891891891892,18,185
2019-10-21,0.023696682464454975,0.04265402843601896,0.12796208530805686,0.17535545023696683,0.23696682464454977,18,211
2019-10-22,0.023622047244094488,0.04330708661417323,0.12598425196850394,0.16535433070866143,0.18503937007874016,21,252
2019-10-23,0.015873015873015872,0.031746031746031744,0.09523809523809523,0.1111111111111111,0.16666666666666666,19,126
2019-10-24,0.09322033898305085,0.11016949152542373,0.211864406779661,0.2457627118644068,0.2542372881355932,24,116
2019-10-25,0.016216216216216217,0.021621621621621623,0.07567567567567568,0.08108108108108109,0.12432432432432433,17,185
2019-10-26,0.007194244604316547,0.007194244604316547,0.10071942446043165,0.12949640287769784,0.18705035971223022,21,139
2019-10-27,0.034013605442176874,0.047619047619047616,0.10204081632653061,0.12244897959183673,0.12244897959183673,18,146
2019-10-28,0.011904761904761904,0.023809523809523808,0.05952380952380952,0.07142857142857142,0.08333333333333333,14,168
