day,N,N1,N2,M,M[-1],N1/M[-1],N2/M[-1],N1/N,N2/N
2020-01-29,274,246.0,28.0,57682.0,57436.0,0.00428302806602131,0.00048749912946584025,0.8978102189781022,0.10218978102189781
2020-01-30,284,262.0,22.0,57944.0,57682.0,0.004542144863215561,0.00038140147706390207,0.9225352112676056,0.07746478873239436
2020-01-31,289,263.0,26.0,58207.0,57944.0,0.004538865111141792,0.000448709098439873,0.9100346020761245,0.08996539792387544
2020-02-01,223,190.0,33.0,58397.0,58207.0,0.0032642122081536586,0.0005669421203635302,0.852017937219731,0.14798206278026907
2020-02-02,238,211.0,27.0,58608.0,58397.0,0.0036131993081836397,0.00046235251810880696,0.8865546218487395,0.1134453781512605
2020-02-03,252,214.0,38.0,58822.0,58608.0,0.0036513786513786514,0.0006483756483756484,0.8492063492063492,0.15079365079365079
2020-02-04,162,141.0,21.0,58963.0,58822.0,0.002397062323620414,0.00035700928224133825,0.8703703703703703,0.12962962962962962
2020-02-05,229,210.0,19.0,59173.0,58963.0,0.0035615555517867136,0.00032223597849498836,0.9170305676855895,0.08296943231441048
2020-02-06,189,164.0,25.0,59337.0,59173.0,0.0027715343146367433,0.0004224899869873084,0.8677248677248677,0.13227513227513227
2020-02-07,317,282.0,35.0,59619.0,59337.0,0.004752515293998685,0.0005898511889714681,0.889589905362776,0.11041009463722397
2020-02-08,286,250.0,36.0,59869.0,59619.0,0.004193294084100706,0.0006038343481105017,0.8741258741258742,0.1258741258741259
2020-02-09,160,138.0,22.0,60007.0,59869.0,0.002305032654629274,0.00036746897392640597,0.8625,0.1375
2020-02-10,275,239.0,36.0,60246.0,60007.0,0.003982868665322379,0.000599930008165714,0.8690909090909091,0.13090909090909092
2020-02-11,334,288.0,46.0,60534.0,60246.0,0.004780400358530027,0.0007635361683763237,0.8622754491017964,0.1377245508982036
2020-02-12,341,318.0,23.0,60852.0,60534.0,0.005253246109624343,0.00037995176264578583,0.9325513196480938,0.06744868035190615
2020-02-13,292,253.0,39.0,61105.0,60852.0,0.0041576283441793205,0.0006408992309209229,0.8664383561643836,0.13356164383561644
2020-02-14,216,196.0,20.0,61301.0,61105.0,0.0032075934866213894,0.00032730545781850913,0.9074074074074074,0.09259259259259259
2020-02-15,206,186.0,20.0,61487.0,61301.0,0.0030342082510888893,0.00032625895172998806,0.9029126213592233,0.0970873786407767
2020-02-16,235,205.0,30.0,61692.0,61487.0,0.0033340380893522206,0.00048790801307593476,0.8723404255319149,0.1276595744680851
